name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,unique_attention_projection,opattention,attention_rescale,spr,kdt,spr_std,kdt_std
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,True,False,True,True,True,0.5502429287491777,0.39447957229582026,0.016937276622508615,0.010793042570873358
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,True,False,True,True,True,0.6800084074713674,0.4938552586101055,0.0004832757896458489,0.000413046868487613
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,True,False,True,True,True,0.7231953740270313,0.5339826759858031,0.001000532736369773,0.0008920335024614562
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,False,True,True,True,True,0.35307444206861566,0.24245625620342537,0.023675772496090097,0.014162678798150216
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,False,True,True,True,True,0.6126849670360319,0.4433739128052556,0.006093393984600795,0.003705384652562964
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,False,True,True,True,True,0.7356709325829357,0.5447708800628653,0.00026222952470228135,0.0002902201846438624
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,True,True,True,True,True,0.47698594920504095,0.33484579851859336,0.0152319107725677,0.007806853107285062
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,True,True,True,True,True,0.7150001332900411,0.5230129201867658,0.00030879080818364195,0.00015826136312865435
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,True,True,True,True,True,0.7756387491917022,0.5828729080796444,0.00018864679735717624,0.00010558363335773492
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,True,True,False,True,True,0.5832871509599634,0.4129053441623491,0.0034308010303948275,0.0019166276414598587
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,True,True,False,True,True,0.7234188276819697,0.5300832842403662,0.0010582216154916466,0.0008371413678325188
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,True,True,False,True,True,0.7301337596645164,0.5442372599371729,0.00025339180206402305,0.0004523095993794291
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,False,False,True,True,True,0.445105132284123,0.31318073733017604,0.023331187854383022,0.012683274828387126
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,False,False,True,True,True,0.593283976358779,0.43111815228248607,0.018030741337299885,0.012209571721408864
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,False,False,True,True,True,0.7368333970325122,0.5453916817670514,0.0011164911512723987,0.0010458498760596926
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,8,False,False,False,True,True,0.6628748036407056,0.4791316787932514,0.0032926919914772583,0.0024823923868123477
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,16,False,False,False,True,True,0.6477125089422074,0.465819359499768,0.0004287265344965465,0.00029124483124038075
arch_abl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,ensemble,False,32,False,False,False,True,True,0.7010505058319204,0.5122609363820173,0.002320583440895426,0.001934883833749803
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,8,True,False,False,True,True,0.6424278940040609,0.46278069610939787,0.0029882799220898905,0.002028607063306468
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,16,True,False,False,True,True,0.7147314286450808,0.5298713373725004,0.0018263664290808091,0.0013804746920167731
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,32,True,False,False,True,True,0.6606313993613125,0.48249534822614654,0.008242346107038334,0.005540834405093461
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,8,False,True,True,True,True,0.6223620378025284,0.4487162874041894,0.007181965582467797,0.005036980608924899
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,16,False,True,True,True,True,0.6639957960296414,0.4832158484894608,0.003935074046670774,0.0029819918780198316
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,32,False,True,True,True,True,0.7468845690411537,0.5582116496384838,0.0005897120742338449,0.0005730199799021549
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,8,False,True,False,True,True,0.48751768386275035,0.34034314623127077,0.004807820554784478,0.0026046783153870694
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,16,False,True,False,True,True,0.7329614899285435,0.5428204274989784,0.0008670484285486029,0.0009126540403850001
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,32,False,True,False,True,True,0.7329378639562614,0.5494637241165374,0.004696633514372102,0.003978790161370517
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,8,False,False,True,True,True,0.5048063685273458,0.35623299914296447,0.02481730111552721,0.015100807546949965
arch_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,ensemble,False,16,False,False,True,True,True,0.61488802104524,0.4420064211369781,0.013987495614171869,0.009023531040573086
