name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin,2,pwl,False,16,0.3222204781882562,0.22012949447345134,0.004295146124563837,0.0021952595119922973
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin,2,pwl,False,32,0.34807353036063104,0.23898752856933117,0.013364410734496705,0.006673256925026516
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin,2,pwl,False,128,0.4220254254730162,0.2912120354605449,0.0004346415032898961,0.00023661326455965637
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin,2,pwl,False,256,0.46703046147132854,0.32387123401007045,0.0018472098022288162,0.0009715974672668657
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin,2,pwl,False,512,0.5359394130001255,0.37511922901834743,5.984474455394939e-05,5.029828147345524e-05
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_cate,2,pwl,False,16,0.3409769279118804,0.23412814667556714,0.010288428207188607,0.00520753165460188
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_cate,2,pwl,False,32,0.4483131094005161,0.3098457173540959,0.005365463032990844,0.002868231547811975
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_cate,2,pwl,False,128,0.5360119535947745,0.37459760897664046,0.00022799749195911265,0.00013640257443716904
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_cate,2,pwl,False,256,0.58107383469091,0.4099084924443657,0.0004201527203851778,0.000282025819061417
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_cate,2,pwl,False,512,0.6096611902013885,0.43431505214330524,5.788354592721527e-05,5.453798390507976e-05
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.2909060288340662,0.19726098051236826,0.009630987715247808,0.004542950408350733
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_arch2vec,2,pwl,False,32,0.3561093139360858,0.24276207325750887,0.002840185938607534,0.0014263994288370838
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_arch2vec,2,pwl,False,128,0.4307912327494226,0.2969762834549334,0.0009566717203788253,0.0004974604682492937
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_arch2vec,2,pwl,False,256,0.4671769162846609,0.32301115992417495,0.0006169451368085502,0.00033164469465648324
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_arch2vec,2,pwl,False,512,0.516804516210413,0.36035048939335584,0.00016126972623460237,8.340571811121625e-05
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_zcp,2,pwl,False,16,0.3367639475054305,0.23070507870196924,0.012089546931878886,0.005852872475452314
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_zcp,2,pwl,False,32,0.4440665812895878,0.3062855456320315,0.005740077980845966,0.003063176479663867
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_zcp,2,pwl,False,128,0.49698717265541137,0.34534955743510515,0.0007892855055074689,0.0004837324470648074
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_zcp,2,pwl,False,256,0.5530544476317215,0.38767000718283534,6.731654217777639e-05,4.579995186902594e-05
None,42,16,150,PNAS_fix-w-d,class_scene,adj_gin_zcp,2,pwl,False,512,0.5676477041439795,0.398923798163697,4.970149448902991e-05,2.278157619682091e-05
