name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,spr,kdt,spr_std,kdt_std
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,1,0.053849024685422485,0.03714905783230241,0.052471912305940276,0.02397597276222825
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,2,0.011679355285031626,0.008241320590011402,0.009824864728156453,0.0043594679688620155
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,3,0.2543682449833237,0.17677773281489464,0.06910416539607724,0.03390420579045639
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,4,0.2564872442021871,0.17904135995249182,0.029911937446082695,0.015861311094161532
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,5,0.08548058873355668,0.05739427059329482,0.009305828489051664,0.004172648919064794
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,6,0.13062548754882278,0.08956558768399026,0.06535143867125563,0.030021972397861696
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,7,0.37965432417833145,0.26243972696813916,0.02286689932731734,0.011463686399230524
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,8,0.17746031617580926,0.12052527082658047,0.02369638431975675,0.01089661388659651
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,16,0.356167050225397,0.24320458265289538,0.004596733169907324,0.002263817973253203
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,32,0.6424553096794473,0.4599028218050478,0.002114045607644584,0.001526393258412363
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,64,0.7383138241698481,0.545649407158272,0.0012908823231443883,0.0011929839582321578
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,128,0.7931221959119554,0.5993224267027023,0.0002544414714939167,0.0002545890145604129
table3,42,8,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,ensemble,False,256,0.8521624817618904,0.6605678646825416,3.280928259408782e-05,3.66220759069032e-05
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,1,0.24591729886565747,0.16500789263163498,0.006842501632496217,0.0032351153448554357
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,2,0.21513568955608567,0.14463730465275024,0.00686571488625629,0.003189668328218614
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,3,0.12505400582352455,0.08410042759165402,0.0029113392174459616,0.0013367094266280974
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,4,0.09388272528730375,0.06311071422556778,0.0015433884666541317,0.0007127531968432653
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,5,0.010910358322754264,0.007212868573057841,0.0003141298681096163,0.00013875014699495962
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,6,0.09941529420741123,0.06648590831788993,0.0007276978852177031,0.00032874657905105904
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,7,0.06359787336607688,0.04244823957389357,0.0002917596022074369,0.0001287560058282786
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,8,0.015533365042623764,0.01049622521935737,0.011175346386680848,0.005014633043083198
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,16,0.11802165000587289,0.0793588469148679,0.002964522438681377,0.001372661222198622
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,32,0.2298511310291335,0.1552166175599137,0.009139330686254579,0.004222437436444878
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,64,0.36970706252329677,0.2565127884980812,0.04270171532112718,0.02101230862836785
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,128,0.6258720349109393,0.4451061533817959,0.00011312451360212556,5.088766219528976e-05
table3,42,8,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,ensemble,False,256,0.651865278945859,0.4693257144874281,0.007224320616340242,0.005362005076520818
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,1,0.26318995523918787,0.17660365714417123,0.0036927053373715557,0.0017943684706740667
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,2,0.2351443572553882,0.1580711061548616,0.001984034542538695,0.0009353345111600348
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,3,0.1113303419279783,0.07498786640600348,0.0029628263462269377,0.0013603493975970751
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,4,0.10440234324906043,0.07000329430557532,0.002408879968431933,0.0010862311895752977
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,5,0.013387345065813653,0.008844977008645097,0.0014611469090909932,0.0006466993082318815
table3,42,8,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,ensemble,False,6,0.09196774751471264,0.06162843259206049,0.0015306868650379324,0.0006929305470981334
