comment,seed,batch_size,hidden_size,num_layers,epochs,space,representation,pwl_mse,test_tagates,key,spr,kdt
default_2_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9415224469712877,0.7914751372202641
default_3_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8426152928344117,0.6503085368602688
default_3_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9123409343232451,0.7467520944515497
default_3_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9282018981325462,0.7701931934756158
default_3_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8094729301974023,0.6191098429819959
default_3_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9168670364470141,0.7504119182214366
default_3_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9203068237198782,0.7564858079972279
default_3_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8576252208501441,0.66706317487697
default_3_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9370726309426398,0.781450086585207
default_3_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9350087299226547,0.7796650178634842
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8614338328373174,0.6769827225030474
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9346239743131819,0.7796099319144929
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9380829188776751,0.7858207324444536
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8441745951194931,0.6541808283798578
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9369099248310515,0.7832179013657028
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9430451998282373,0.7943085028545569
default_1_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.7026341708798229,0.526044910556249
default_2_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.7457829892292216,0.563826749828569
default_1_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.6371734520193082,0.4700343488204697
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.67781957864831,0.5052573534133503
default_3_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.7636146506447574,0.5777549107115802
default_1_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.7125808932440382,0.5339798340061921
default_2_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8147387541522348,0.6238325711072634
default_2_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9253392585918316,0.7656078144845911
default_2_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9434606267251568,0.793183437105542
default_1_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.5863713716933854,0.42703549445991523
default_3_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.6357363268913183,0.46661304328967396
