seed,batch_size,hidden_size,num_layers,epochs,space,representation,pwl_mse,test_tagates,key,spr,kdt
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8753883922494604,0.6902217181592871
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9107320740995674,0.7384457297706564
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9126324517911528,0.7405951587827913
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.906210952666209,0.7311797551868577
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8447980944095782,0.6611407895095007
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9094881534968535,0.736491996045594
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8903235591364164,0.7152229660084899
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9023289358626929,0.7233709700500334
None,16,512,2,150,nb101,adjgin_zcp,mse,True,364,0.6682101736377923,0.4818987937381287
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9028813965194148,0.7278654765936166
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8893289240607587,0.711114313829619
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8652620830799894,0.6770242737537464
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8760867925892832,0.6920614214310963
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9038772548703627,0.7287784951514352
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8701528083409151,0.6855853248501671
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8779604283767706,0.6951967442875282
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.898841715925778,0.7227831990285546
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8928582677517007,0.7154915967727598
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7320617162683671,0.5384482051832651
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7379280473313041,0.5416528951080667
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8599334944539915,0.6731196626442263
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7080472813027185,0.5139492561124681
None,16,512,2,150,nb101,adjgin_zcp,mse,True,72,0.6919771486022127,0.5009064967021133
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.744419482438915,0.5522033242799976
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.6993568943192926,0.5109637741786974
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7288058847454616,0.5335407093278988
None,32,256,3,150,nb101,adjgin_zcp,pwl,True,72,0.7188020846561214,0.5308570313613593
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7575654872600479,0.56490779615155
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.900640250426012,0.7225673571506818
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9011757143742711,0.7271119675488433
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.7751595881885524,0.5766782188236125
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8767456187025533,0.6922774652809545
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8971158204473166,0.7214663205290314
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8933068590779052,0.7187885538637933
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.908362154709078,0.7334563261112613
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9074866045190656,0.739811406970551
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.5599277604890981,0.40234878089759096
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.6345113188606488,0.4534907206799743
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,36,0.8064717454727254,0.6218258492458049
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9233155968857816,0.76419139143719
None,16,512,2,500,nb101,adjgin_zcp,pwl,True,364,0.9181919259169266,0.753141903872202
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9316478961513215,0.774538748183065
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.902686458897332,0.7307176390626945
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9316164849892126,0.7770689135889998
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9339346509986541,0.7801181116461045
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8487497819280851,0.6603534948411706
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8654250224903468,0.6782753603068608
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.2296287943651805,0.15820943297283271
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8383255807804597,0.647817615456282
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7845860922342528,0.5900298921453354
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8119887916931103,0.6201881624576959
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8086486122877031,0.6149367648459815
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7993195457645531,0.6033239610695087
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8552904443061835,0.6687172118573994
