seed,batch_size,hidden_size,num_layers,epochs,space,representation,pwl_mse,test_tagates,key,spr,kdt
None,8,128,2,20,nb101,adjgin_zcp,mse,True,7280,0.8855949262466638,0.7079953244980429
None,8,128,2,20,nb101,adjgin_zcp,mse,True,72,0.7838856704983191,0.5841868865365791
None,8,128,2,20,nb101,adjgin_zcp,mse,True,72,0.6835279530399524,0.4911604569832095
None,8,128,2,20,nb101,adjgin_zcp,mse,True,72,0.6838023611977526,0.4909856021935895
None,8,128,2,500,nb101,adjgin_zcp,mse,True,72,0.7015981846204421,0.5104347815132317
None,8,128,2,20,nb101,adjgin_zcp,mse,True,72,0.6986086433613213,0.5121510960898348
42,16,1024,2,20,nb101,adjgin_zcp,pwl,True,72,0.674528985055811,0.48533137312222024
42,16,1024,2,20,nb101,adjgin_zcp,pwl,True,72,0.7022823440845116,0.5113813630769904
42,16,1024,2,20,nb101,adjgin_zcp,mse,True,72,0.7329592379153024,0.5395608839357102
42,16,128,3,20,nb101,adjgin_zcp,pwl,True,72,0.7259191566453926,0.5309391786897919
42,16,128,3,20,nb101,adjgin_zcp,pwl,True,72,0.7412807265738641,0.542445250274318
42,16,128,3,150,nb101,adjgin_zcp,pwl,True,72,0.7652390271162731,0.5718797081178462
42,16,128,3,150,nb101,adjgin_zcp,pwl,True,364,0.8438574332153453,0.6567034272574472
42,16,128,3,150,nb101,adjgin_zcp,mse,True,364,0.8075482146394679,0.6172643996401661
42,16,512,3,150,nb101,adjgin_zcp,mse,True,364,0.836349315265059,0.6453541110904348
42,16,512,3,150,nb101,adjgin_zcp,mse,True,364,0.8291060019851835,0.6386581841579025
42,16,512,3,150,nb101,adjgin_zcp,pwl,True,364,0.8536817825934375,0.6653824012166606
42,16,512,3,150,nb101,adjgin_zcp,pwl,True,364,0.8474782420457119,0.654991955257566
42,16,512,3,150,nb101,adjgin_zcp,pwl,True,364,0.8526372999484618,0.6604174142483454
42,16,512,3,150,nb101,adjgin_zcp,pwl,True,364,0.8500690192291249,0.6601330574351397
None,32,32,3,20,nb101,adjgin_zcp,pwl,True,364,0.7421518334162974,0.5464539777020672
