name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,16,150,ENAS,class_scene,adj_gin_cate,2,pwl,False,16,0.057663194397768104,0.03856985543451492,0.0029029467217523922,0.0013043480256203748
None,42,16,150,ENAS,class_scene,adj_gin_cate,2,pwl,False,32,0.19538788850979008,0.13135072995454386,0.002951743653683988,0.0013524881898344776
None,42,16,150,ENAS,class_scene,adj_gin_cate,2,pwl,False,128,0.2448999369020195,0.16501639916728414,0.0011713721915154126,0.0005544909773026215
None,42,16,150,ENAS,class_scene,adj_gin_cate,2,pwl,False,256,0.23915286544973272,0.16117898143527698,0.0008425886070173872,0.0003891108547236246
None,42,16,150,ENAS,class_scene,adj_gin_cate,2,pwl,False,512,0.27548678277629157,0.18645447058945344,0.0006522390458903008,0.0003126319617921778
None,42,16,150,ENAS,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.08926792707294512,0.059772705562697724,0.00737653973425675,0.0033203968809971895
None,42,16,150,ENAS,class_scene,adj_gin_arch2vec,2,pwl,False,32,0.08770084446202657,0.05862661963863285,0.00023525656100946264,0.00010663497583029416
None,42,16,150,ENAS,class_scene,adj_gin_arch2vec,2,pwl,False,128,0.2315315760918221,0.15577984527391855,8.819141216611581e-05,4.1051662833567774e-05
None,42,16,150,ENAS,class_scene,adj_gin_arch2vec,2,pwl,False,256,0.2203909093280518,0.14866607535529427,0.00025930222307908704,0.00012141843558491758
None,42,16,150,ENAS,class_scene,adj_gin_arch2vec,2,pwl,False,512,0.25398188086797374,0.1712232504525435,0.0002632741465250091,0.00012753299131598635
None,42,16,150,ENAS,class_scene,adj_gin_zcp,2,pwl,False,16,0.5934319945508438,0.4223372057200141,0.006035073783006997,0.0037054525357259247
None,42,16,150,ENAS,class_scene,adj_gin_zcp,2,pwl,False,32,0.6987966998331325,0.5124052255344759,0.0006040587742878876,0.0005057471220245062
None,42,16,150,ENAS,class_scene,adj_gin_zcp,2,pwl,False,128,0.7191865571970277,0.5304986914016866,5.764602180887655e-05,8.241171347640306e-05
None,42,16,150,ENAS,class_scene,adj_gin_zcp,2,pwl,False,256,0.7661417469550119,0.5781756888111166,0.0002593022559522589,0.0002871518054084346
None,42,16,150,ENAS,class_scene,adj_gin_zcp,2,pwl,False,512,0.7950296175504893,0.6068797633972899,4.252099521217718e-05,5.299960897298309e-05
None,42,16,150,ENAS,class_scene,adj_gin,2,pwl,False,16,0.12171349191039287,0.08162952556316595,0.0044355560010463325,0.0019945339016174206
None,42,16,150,ENAS,class_scene,adj_gin,2,pwl,False,32,0.18408892548493316,0.1238349387550971,0.0023627019017008295,0.001073344982392605
None,42,16,150,ENAS,class_scene,adj_gin,2,pwl,False,128,0.21078920441143648,0.14142530563494657,0.0008543268874128758,0.00041584941254309754
None,42,16,150,ENAS,class_scene,adj_gin,2,pwl,False,256,0.18343395258018388,0.12325797650960253,0.001417015864358274,0.0006356781317988558
None,42,16,150,ENAS,class_scene,adj_gin,2,pwl,False,512,0.26828770681719655,0.1812438935997306,7.648385925877692e-05,4.041320864078617e-05
