name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,16,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,16,-0.01884181437936887,-0.01268179164812841,0.005876189273510531,0.0026259582417835596
None,42,16,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,32,0.09025040403317258,0.06031195476824961,0.0034339420828545185,0.0015320064765557914
None,42,16,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,128,0.14915216006584592,0.10032555906593571,0.0031780253166661912,0.0014605436111037717
None,42,16,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,256,0.1667471790255325,0.11190216401087609,0.00029883875691583947,0.0001332445093345909
None,42,16,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,512,0.1775503744736967,0.11903060704916062,0.00021104197505439042,9.3205461753246e-05
None,42,16,150,DARTS,class_scene,adj_gin,2,pwl,False,16,-0.03469935174467505,-0.023377562780129955,0.0030468532146610845,0.0013692898968581536
None,42,16,150,DARTS,class_scene,adj_gin,2,pwl,False,32,0.08099111348720923,0.054275157937976465,0.003724076041719511,0.0016714206989385423
None,42,16,150,DARTS,class_scene,adj_gin,2,pwl,False,128,0.10393116998565612,0.06975401527234483,0.00252485237356477,0.001141470614103954
None,42,16,150,DARTS,class_scene,adj_gin,2,pwl,False,256,0.15080950773268412,0.10104163447089609,5.4979922969527795e-05,2.368849841310111e-05
None,42,16,150,DARTS,class_scene,adj_gin,2,pwl,False,512,0.19881856463161637,0.13352148761458696,3.023748233008364e-05,1.3256605042121585e-05
None,42,16,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.042034304050107385,0.028056260418152762,0.005677660657693705,0.0025249339401514008
None,42,16,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,32,0.11191494617856323,0.07484968532288847,0.0034591180956767133,0.001557147820984136
None,42,16,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,128,0.11791900698385062,0.07899008905278639,0.0005655046013272135,0.00025586588630282543
None,42,16,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,256,0.16721005902142236,0.11215335697682871,7.504557185094771e-05,3.279914382326402e-05
None,42,16,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,512,0.17362427788203494,0.11647375238964343,2.7402669720483887e-05,1.1244463234604343e-05
None,42,16,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,16,0.6105584029211079,0.4383070390023949,0.0005226912072962274,0.0005267573500294386
None,42,16,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,32,0.6164811224330132,0.43830828221477985,0.0019479448639015172,0.0013841718790786573
None,42,16,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,128,0.7594149602147954,0.5665039674207765,0.00011774215193620342,0.0001295996693356167
None,42,16,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,256,0.7752397450338426,0.5844726213489891,0.00014045711544620517,0.0001260936165578748
None,42,16,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,512,0.7980348485897624,0.608944988515971,0.00014677515364688369,0.00012367383683198772
None,42,512,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,1024,0.22099726755269958,0.14860732331440638,6.267338212961308e-05,3.056779852230759e-05
None,42,512,150,DARTS,class_scene,adj_gin_cate,2,pwl,False,2048,0.2512795694103648,0.16992122236954055,5.5531084441889e-05,2.2233447848646e-05
None,42,512,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,1024,0.19731675048296346,0.13261521238086013,1.3203683803009166e-05,4.990313037673275e-06
None,42,512,150,DARTS,class_scene,adj_gin_arch2vec,2,pwl,False,2048,0.21255341893678326,0.14322192403086112,3.841348384648756e-05,1.7739092833286777e-05
None,42,512,150,DARTS,class_scene,adj_gin,2,pwl,False,1024,0.23581770769984037,0.15878315621349368,0.00015936340452569702,7.160990438203578e-05
None,42,512,150,DARTS,class_scene,adj_gin,2,pwl,False,2048,0.29933366076960394,0.20250924851030397,0.00010548465450420894,5.5972306726568886e-05
None,42,512,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,1024,0.8365833719494221,0.6497693041446981,8.2086120924284e-06,7.121377266035789e-06
None,42,512,150,DARTS,class_scene,adj_gin_zcp,2,pwl,False,2048,0.8526690479077672,0.6678587862132689,4.973235758651094e-06,6.0591986148256706e-06
